id;sender_account_number;recipient_iban;swift_code;recipient_name;amount;currency;transaction_date;description;bank_account_id
1;brr hastily statue;"JYXXXXXXXXXXXXX";triumphantl;orient;5041.41;USD;2024-11-28T02:24:10;bookend;1
2;pish;"BA8XXXXXXXXXXXX";flat aside;unaware terrorise govern;22566.41;CHF;2024-11-28T00:16:09;fooey whereas unfinished;2
3;consequently though cram;"UAPW5FXXXXXXXXX";than;smuggle where;28594.56;SAR;2024-11-28T17:46:05;frank sizzle knottily;3
4;curry careless;"OJ5QGXXXXXXXXXX";with reborn;intermesh scrutinise where;11333.47;CHF;2024-11-28T16:43:47;phooey;4
5;er;"7F1NXXXXXXXXXXX";ownership l;violently consistency irritably;13008.99;EUR;2024-11-28T13:09:16;bitterly government doubter;5
6;rival;"TXXXXXXXXXXXXXX";whack loyal;attend joyously deduct;30984.74;GBP;2024-11-27T21:06:12;though;6
7;idle athwart among;"95UXXXXXXXXXXXX";amongst bes;throughout pause boyfriend;50.45;GBP;2024-11-28T11:04:31;woot scramble;7
8;indolent;"W0U8FVXXXXXXXXX";truly;once tidy;13050.02;AED;2024-11-27T20:53:22;before circa gee;8
9;bestride aha;"OKNI0TXXXXXXXXX";equally ner;instead;21266.06;GBP;2024-11-28T04:59:34;scramble gestate futon;9
10;whispered;"8XXXXXXXXXXXXXX";that unethi;gosh afore fidget;20666.93;JPY;2024-11-28T07:53:30;drum linseed exactly;10
