id;sender_account_number;recipient_account_number;recipient_bank_name;recipient_bank_branch;amount;transaction_date;description;bank_account_id
1;um goat ick;swing;enchanted;psst yippee;3940.27;2024-11-28T13:24:18;easy mooch windy;1
2;mortar;ravel tenderly about;minus;mould honestly;25576.99;2024-11-27T20:14:32;interesting how;2
3;lumbering;commonly;woot;phooey fairly thyme;30644.85;2024-11-28T15:13:54;er;3
4;circa till;kit considerate;wholly;lashes;10732.15;2024-11-27T23:24:34;guidance elegant ack;4
5;amend sensitize almost;provided across;consequently tank;even;18625.04;2024-11-28T02:04:53;unless farmer;5
6;amongst permafrost thrifty;tepid;aside;entwine;10341.65;2024-11-27T20:33:32;than;6
7;highlight;chow;extent jump;phew;6399.96;2024-11-28T15:16:21;browse psst;7
8;cinch yuppify;overcoat growing blowgun;hunger twist flowery;whether forgo;26460.22;2024-11-28T13:43:20;transparency;8
9;gracefully;uh-huh apt;structure dishearten;whether yet amongst;26380.21;2024-11-28T15:37:46;meh;9
10;pfft so below;youthful option glow;off assured;dereference;16812.32;2024-11-28T05:57:00;provided;10
