id;document_number;document_type;issue_date;expiry_date;file_path;uploaded_at
1;firsthand which;NATIONAL_NUMBER;2024-11-07;2024-11-07;fax cycle achieve;2024-11-07T00:46:46
2;clamor;PHOTO;2024-11-07;2024-11-07;unless;2024-11-07T01:52:43
3;wedding appreciate rightfully;PHONE_LINKED_TO_NATIONAL_NUMBER;2024-11-07;2024-11-07;oof harangue;2024-11-07T17:27:24
4;dock doing;PHOTO;2024-11-07;2024-11-07;notwithstanding while;2024-11-07T05:58:51
5;hope aha;NATIONAL_NUMBER;2024-11-07;2024-11-07;quarrelsomely boo;2024-11-07T01:39:15
6;offset pneumonia;NATIONAL_NUMBER;2024-11-07;2024-11-07;unknown aha boohoo;2024-11-07T22:48:39
7;until meh;NATIONAL_ID;2024-11-07;2024-11-07;reward a mostly;2024-11-07T01:11:22
8;ha;PASSPORT;2024-11-07;2024-11-07;meanwhile crystallize;2024-11-07T22:27:13
9;onto foodstuffs physically;PHONE_LINKED_TO_NATIONAL_NUMBER;2024-11-07;2024-11-07;partially sanity amidst;2024-11-07T21:15:13
10;dreary woefully;RESIDENT_PERMIT;2024-11-07;2024-11-07;inasmuch bidet however;2024-11-07T08:30:05
