id;card_number;card_expiry_date;card_holder_name;cvv;amount;payment_date;description;payment_id
1;"5126518428683324";2024-12-02;pluck forsaken;"034";1201.37;2024-12-02T11:45:00;that acceptable hydrocarbon;1
2;"0632907652747804";2024-12-02;pish nasalise;"2575";23075.95;2024-12-02T11:46:19;besides pfft smoothly;2
3;"4970883515434470";2024-12-02;cleverly confusion ripe;"0485";4658.3;2024-12-02T14:40:21;musty than;3
4;"9812287845421593";2024-12-02;huzzah heavy so;"385";9928.84;2024-12-02T17:06:39;next sanity;4
5;"7818611493580782";2024-12-02;about which;"6298";3943.79;2024-12-02T02:59:21;physically gleefully miscalculate;5
6;"5888210683393221";2024-12-02;aftermath beyond lest;"0187";20716.43;2024-12-02T21:18:20;madly verve versus;6
7;"1057044093514295";2024-12-02;consequently despite;"1424";15010.53;2024-12-02T07:03:35;intensely however busy;7
8;"3194818335839409";2024-12-02;final thankfully;"2881";22092.59;2024-12-02T05:26:30;likewise;8
9;"1724649432997837";2024-12-01;defiantly;"655";24352.59;2024-12-02T18:42:26;yuck geez oh;9
10;"9022758115862476";2024-12-02;gadzooks wholly;"660";12369.65;2024-12-02T02:07:13;times unbearably meanwhile;10
